style_id	family	title	feel	type_era	control	material_hint	a11y_watch	notes
energy-grid	industry	Energy Grid	network status load	TY-MONO-DATA	sharp-0	grid-blue	load	
agritech	industry	Agritech	fields sensors seasons	TY-HUMANIST	chunk-border	field-green	season	
climate-data	industry	Climate Data	charts earth tones serious	TY-GROTESK-SOFT	sharp-0	earth-data	charts	
nonprofit-campaign	industry	Nonprofit Campaign	urgency story donate	TY-HUMANIST	filled-block	campaign-photo	donate clear	
museum	industry	Museum	collection quiet captions	TY-SERIF-TEXT	ink-underline	gallery-white	captions	
theatre	industry	Theatre	dark house marquee	TY-DISPLAY-EXTREME	ticket	marquee	marquee	
cinema	industry	Cinema	poster stills showtimes	TY-DISPLAY-EXTREME	sharp-0	cinema-dark	showtimes	
publishing-house	industry	Publishing House	bookish typographic	TY-SERIF-TEXT	ink-underline	book-cloth	type	
newsroom-cms	industry	Newsroom CMS	deadlines queues desks	TY-GROTESQUE	sharp-0	newsroom	queues	
church-parish	industry	Parish / Church	communal quiet liturgical	TY-OLDSTYLE-SERIF	ink-underline	stone-wood	respectful	
sports-club	industry	Local Sports Club	kit colours fixtures	TY-INDUSTRIAL-COND	chunk-border	kit	fixtures	
union-labour	industry	Labour Union	solidarity bold simple	TY-INDUSTRIAL-COND	chunk-border	poster-red-black	solidarity	
swiss-grid-regional	regional	Swiss Grid Regional	Basel grid precision	TY-GROTESQUE	ink-underline	paper-ink	objectivity	
dutch-modern	regional	Dutch Modern	bold type conceptual NL	TY-GROTESQUE	sharp-0	bold-print	concept	
scandi-lagom	regional	Scandi Lagom	just enough calm	TY-HUMANIST	soft-rect	birch	calm	
german-industrial	regional	German Industrial	precise engineering type	TY-GROTESQUE	sharp-0	engineering-grey	precise	
italian-fashion	regional	Italian Fashion Print	elegance sensual type	TY-DIDONE-LUX	ink-underline	fashion-print	elegance	
french-editorial	regional	French Editorial	intellectual airy type	TY-MODERN-SERIF	ink-underline	cream-edit	airy	
iberian-azulejo	regional	Iberian Azulejo	tile patterns ceramic blue	TY-HUMANIST	chunk-border	azulejo	pattern secondary	
nordic-runelike	regional	Nordic Stark	cold stark nature type	TY-GROTESQUE	sharp-0	fjord-stone	stark	
east-euro-poster	regional	Eastern European Poster	metaphor bold concept	TY-DISPLAY-EXTREME	sharp-0	poster-print	concept	
soviet-construct-poster	regional	Soviet Poster Tradition	worker geometry slogan	TY-INDUSTRIAL-COND	chunk-border	red-black	historical care	
middle-east-geometric	regional	Islamic Geometric Influence	pattern geometry calligraphy care	TY-GEOMETRIC	ink-underline	geometric-tile	calligraphy respectful	
west-african-textile	regional	West African Textile Inspired	bold pattern rhythm colour	TY-DISPLAY-EXTREME	chunk-border	ankara-inspired	pattern not stereotype	
east-african-urban	regional	East African Urban Contemporary	city colour bold type	TY-HUMANIST	chunk-border	urban-colour	contemporary	
indic-modern	regional	Indic Modern	festive colour modern type	TY-HUMANIST	pill	festive-colour	not exoticism	
se-asian-tropical-modern	regional	SE Asian Tropical Modern	humid green modern calm	TY-HUMANIST	soft-rect	tropical-modern	climate	
latin-american-modern	regional	Latin American Modern	bold colour mural energy	TY-DISPLAY-EXTREME	chunk-border	mural-colour	energy	
brazilian-tropicalia	regional	Tropicália Inspired	clash tropical modern	TY-MIXED-HIGH-CONTRAST	chunk-border	tropical-clash	clash	
mexican-muralist	regional	Mexican Muralist Inspired	public narrative bold figures	TY-DISPLAY-EXTREME	filled-block	mural	narrative	
us-roadside	regional	US Roadside Vernacular	motel signs big type	TY-DISPLAY-EXTREME	chunk-border	motel-neon	vernacular	
us-national-park	regional	US National Park Service	badge poster nature type	TY-SLAB	chunk-border	park-poster	nature	
canadian-modern	regional	Canadian Modern Public	clear bilingual calm	TY-HUMANIST	soft-rect	public-clear	clear	
australian-modern	regional	Australian Modern	sun beach urban mix	TY-HUMANIST	soft-rect	sun-urban	bright	
nz-clean-green	regional	NZ Clean Green	nature clarity open	TY-HUMANIST	soft-rect	green-clean	open	
uk-brutal-public	regional	UK Public Brutal	civic concrete practical	TY-GROTESQUE	sharp-0	civic-concrete	practical	
uk-railway	regional	UK Railway Poster	travel lithograph charm	TY-HUMANIST	ticket	lithograph	travel	
london-underground	regional	London Underground	Johnston-like wayfinding	TY-HUMANIST	sharp-0	roundel-wayfinding	wayfinding	
paris-metro	regional	Paris Métro	Guimard curves / modern hybrid	TY-DISPLAY-EXTREME	ink-underline	metro-iron	metro	
tokyo-dense	regional	Tokyo Dense Urban UI	information dense precise	TY-GROTESK-SOFT	sharp-0	dense-signage	density careful	
seoul-soft-product	regional	Seoul Soft Product	polished soft app cards	TY-ROUNDED	pill	soft-card	soft product	
shanghai-neon	regional	Shanghai Neon Night	neon hanzi skyline energy	TY-DISPLAY-EXTREME	sharp-0	neon-night	neon AA	
letterpress	craft-material	Letterpress	impression ink paper bite	TY-OLDSTYLE-SERIF	chunk-border	letterpress	impression	
woodblock	craft-material	Woodblock	carved ink grain	TY-DISPLAY-EXTREME	sharp-0	woodblock	grain	
screenprint-poster	craft-material	Screenprint Poster	flat ink layers registration	TY-INDUSTRIAL-COND	chunk-border	screenprint	layers	
embroidery-ui	craft-material	Embroidery Inspired	stitch texture folk	TY-HUMANIST	soft-rect	stitch	texture secondary	
ceramics-studio	craft-material	Ceramics Studio	glaze clay kiln calm	TY-HUMANIST	pill	ceramic-glaze	glaze	
glassblowing	craft-material	Glass Studio	transparent colour heat	TY-GROTESK-SOFT	pill	hot-glass	transparency contrast	
blacksmith	craft-material	Blacksmith	forge iron heat spark	TY-INDUSTRIAL-COND	chunk-border	forged-iron	heat	
bookbinding	craft-material	Bookbinding	cloth boards endpapers	TY-OLDSTYLE-SERIF	ink-underline	book-cloth	book	
stationery-luxe	craft-material	Luxury Stationery	foil deboss paper grades	TY-DIDONE-LUX	ink-underline	deboss-foil	foil	
packing-tape-warehouse	craft-material	Warehouse Packing	tape labels stencil	TY-STENCIL	chunk-border	packing-tape	stencil	
saas-default-anti	digital-product	SaaS Default (BAN often)	Inter soft cards purple accent — use as refuse	TY-GROTESK-SOFT	soft-rect	saas-white	this is the median to refuse	
docs-site	digital-product	Docs Site	TOC content code	TY-GROTESK-SOFT	ink-underline	docs-grey	TOC	
marketing-launch	digital-product	Launch Marketing	hero proof CTA	TY-GROTESK-SOFT	soft-rect	launch	hero	
waitlist-minimal	digital-product	Waitlist Minimal	almost nothing email	TY-SANS-ONLY-TIGHT	ink-underline	void	min	
onboarding-friendly	digital-product	Friendly Onboarding	steps illustration calm	TY-ROUNDED	pill	friendly	steps	
empty-state-art	digital-product	Empty-State Artful	empty as designed moment	TY-HUMANIST	soft-rect	empty-art	empty	
settings-dense	digital-product	Settings Dense	groups search shortcuts	TY-SYSTEM-RAW	sharp-0	settings	not candy pills	
analytics-serious	digital-product	Analytics Serious	charts first quiet chrome	TY-MONO-DATA	sharp-0	chart-ink	charts	
social-feed	digital-product	Social Feed	cards infinite careful	TY-GROTESK-SOFT	pill	feed	feed	
marketplace	digital-product	Marketplace	search grid trust	TY-GROTESK-SOFT	soft-rect	market-grid	trust	
booking-calendar	digital-product	Booking Calendar	availability spine	TY-HUMANIST	soft-rect	calendar	dates	
chat-support	digital-product	Support Chat	thread + context not triple AI	TY-HUMANIST	pill	support	thread	
email-client	digital-product	Email Client	list reading pane	TY-HUMANIST	sharp-0	mail	master-detail	
notes-plain	digital-product	Plain Notes	writing first almost no chrome	TY-SERIF-TEXT	ink-underline	paper	writing	
wiki-internal	digital-product	Internal Wiki	tree content breadcrumbs	TY-SYSTEM-RAW	ink-underline	wiki	tree	
status-page	digital-product	Status Page	uptime honest plain	TY-SYSTEM-RAW	sharp-0	status	honest	
error-playful	digital-product	Playful Error	404 character without cruelty	TY-ROUNDED	pill	error-play	still clear	
paywall-fair	digital-product	Fair Paywall	clear offer no dark patterns	TY-HUMANIST	filled-block	paywall	fair	
accessibility-first	digital-product	Accessibility-First Chrome	high contrast large targets explicit	TY-HUMANIST	chunk-border	a11y-high	floor amplified	
low-bandwidth	digital-product	Low Bandwidth	few assets system fonts	TY-SYSTEM-RAW	ink-underline	system	fast	
print-stylesheet-web	digital-product	Print-First Web	designed to print clean	TY-SERIF-TEXT	ink-underline	print-paper	print	
amp-bare	digital-product	Bare Content	reader mode aesthetic	TY-SERIF-TEXT	ink-underline	reader	content	
newsletter-html	digital-product	HTML Newsletter	single column email constraints	TY-HUMANIST	filled-block	email-safe	email limits	
pwa-install	digital-product	PWA Utility	app-like simple install	TY-GROTESK-SOFT	pill	pwa	simple	
ar-overlay	digital-product	AR Overlay UI	transparent HUD real world	TY-GROTESK-SOFT	pill	hud-clear	overlay contrast	
watch-complication	digital-product	Watch-scale	tiny dense complications	TY-SYSTEM-RAW	sharp-0	watch	tiny type limits	
tv-10foot	digital-product	10-foot UI	huge focus living room	TY-GROTESQUE	soft-rect	tv-dark	focus large	
kiosk	digital-product	Kiosk	touch first timeout	TY-HUMANIST	filled-block	kiosk	touch 44px+	
pos-till	digital-product	POS Till	fast keys total	TY-INDUSTRIAL-COND	chunk-border	till	speed	
signage-digital	digital-product	Digital Signage	distance legible loop	TY-INDUSTRIAL-COND	sharp-0	signage	distance	
acid-graphix	internet-expanded	Acid Graphics	chaotic gradient mesh 90s revival	TY-DISPLAY-EXTREME	chunk-border	acid-mesh	style-specific contrast	expanded research list
afrofuturism	internet-expanded	Afrofuturism	black futures tech myth	TY-DISPLAY-EXTREME	sharp-0	futurist-pattern	style-specific contrast	expanded research list
analog-horror	internet-expanded	Analog Horror	VHS threat static	TY-SYSTEM-RAW	sharp-0	vhs-static	style-specific contrast	expanded research list
androgyne	internet-expanded	Androgynous Fashion UI	fluid minimal fashion	TY-GROTESK-SOFT	ink-underline	fashion-min	style-specific contrast	expanded research list
arcade-carpet	internet-expanded	Arcade Carpet	wild pattern dark play	TY-PIXEL	chunk-border	arcade-carpet	style-specific contrast	expanded research list
art-hoe	internet-expanded	Art Hoe	creative colour plant collage	TY-MIXED-HIGH-CONTRAST	soft-rect	plant-collage	style-specific contrast	expanded research list
barbiecore	internet-expanded	Barbiecore	hot pink plastic glamour	TY-ROUNDED	pill	pink-plastic	style-specific contrast	expanded research list
basement-swamp	internet-expanded	Basement Swamp	damp low-fi gross cute	TY-SYSTEM-RAW	chunk-border	damp	style-specific contrast	expanded research list
beatnik	internet-expanded	Beatnik	black turtleneck jazz type	TY-OLDSTYLE-SERIF	ink-underline	black-coffee	style-specific contrast	expanded research list
bioluminescent	internet-expanded	Bioluminescent	deep ocean glow	TY-GROTESK-SOFT	pill	deep-glow	style-specific contrast	expanded research list
bookstore	internet-expanded	Bookstore	stacks stickers handwritten	TY-OLDSTYLE-SERIF	ink-underline	book-stack	style-specific contrast	expanded research list
bubblegum-crisis	internet-expanded	Bubblegum 80s Anime	80s JP chrome pink	TY-GEOMETRIC	pill	chrome-pink	style-specific contrast	expanded research list
cabincore	internet-expanded	Cabincore	log cabin cozy forest	TY-SLAB	chunk-border	log-cabin	style-specific contrast	expanded research list
carnival	internet-expanded	Carnival	tickets stripes loud fun	TY-DISPLAY-EXTREME	ticket	carnival	style-specific contrast	expanded research list
cartography-fantasy	internet-expanded	Fantasy Map	parchment compass roses	TY-OLDSTYLE-SERIF	ticket	parchment-map	style-specific contrast	expanded research list
celtic-knot	internet-expanded	Celtic Inspired	knots stone green	TY-OLDSTYLE-SERIF	ink-underline	knot-stone	style-specific contrast	expanded research list
chalkboard-menu	internet-expanded	Chalkboard Menu	hand chalk specials	TY-SCRIPT-SPARSE	chunk-border	chalkboard	style-specific contrast	expanded research list
circus-vintage	internet-expanded	Vintage Circus	rings posters spectacle	TY-DISPLAY-EXTREME	ticket	circus	style-specific contrast	expanded research list
clockpunk	internet-expanded	Clockpunk	clockwork precision	TY-OLDSTYLE-SERIF	ticket	clockwork	style-specific contrast	expanded research list
cloudcore	internet-expanded	Cloudcore	soft sky dream clouds	TY-ROUNDED	pill	cloud	style-specific contrast	expanded research list
clowncore	internet-expanded	Clowncore	chaotic primary silly	TY-DISPLAY-EXTREME	chunk-border	clown-primary	style-specific contrast	expanded research list
coral-reef	internet-expanded	Coral Reef	underwater saturated life	TY-ROUNDED	pill	coral	style-specific contrast	expanded research list
corporate-grunge	internet-expanded	Corporate Grunge	office decay irony	TY-MIXED-HIGH-CONTRAST	chunk-border	office-decay	style-specific contrast	expanded research list
cozy-game-ui	internet-expanded	Cozy Stardew-like	farm soft pixel-adjacent	TY-ROUNDED	pill	cozy-farm	style-specific contrast	expanded research list
cyber-pretty	internet-expanded	Cyber Pretty	cute tech pink chrome	TY-ROUNDED	pill	pink-chrome	style-specific contrast	expanded research list
dark-ocean	internet-expanded	Dark Ocean	abyss pressure blue-black	TY-GROTESK-SOFT	sharp-0	abyss	style-specific contrast	expanded research list
desert-modern	internet-expanded	Desert Modern	adobe midcentury heat	TY-HUMANIST	sharp-0	adobe	style-specific contrast	expanded research list
diesel-workshop	internet-expanded	Diesel Workshop	oil tools manuals	TY-INDUSTRIAL-COND	chunk-border	oil-rag	style-specific contrast	expanded research list
diner-americana	internet-expanded	Americana Diner	checkered cherry red	TY-DISPLAY-EXTREME	chunk-border	checkered	style-specific contrast	expanded research list
dungeon-synth	internet-expanded	Dungeon Synth	lo-fi medieval dark	TY-BLACKLETTER-SPARSE	sharp-0	dungeon	style-specific contrast	expanded research list
editorial-new-york	internet-expanded	NY Editorial	intellectual black white	TY-MODERN-SERIF	ink-underline	ny-edit	style-specific contrast	expanded research list
egyptian-revival	internet-expanded	Egyptian Revival	deco nile geometry	TY-GEOMETRIC	sharp-0	nile-gold	style-specific contrast	expanded research list
electroclash	internet-expanded	Electroclash	2000s club irony	TY-DISPLAY-EXTREME	sharp-0	club-irony	style-specific contrast	expanded research list
elfcore	internet-expanded	Elfcore	ethereal forest elegant	TY-DIDONE-LUX	ink-underline	forest-ethereal	style-specific contrast	expanded research list
equestrian	internet-expanded	Equestrian	leather brass riding	TY-TRANSITIONAL-SERIF	chunk-border	leather-brass	style-specific contrast	expanded research list
estate-sale	internet-expanded	Estate Sale	thrifted mixed decades	TY-MIXED-HIGH-CONTRAST	ticket	thrift	style-specific contrast	expanded research list
fantasy-rpg-ui	internet-expanded	Fantasy RPG UI	parchment bars spells	TY-OLDSTYLE-SERIF	ticket	rpg-parchment	style-specific contrast	expanded research list
fauvist	internet-expanded	Fauvist Colour	wild non-natural colour	TY-DISPLAY-EXTREME	chunk-border	wild-colour	style-specific contrast	expanded research list
festival-boho	internet-expanded	Festival Boho	fringe dust sunset	TY-HUMANIST	pill	dust-sunset	style-specific contrast	expanded research list
film-noir	internet-expanded	Film Noir	venetian blinds shadow	TY-TRANSITIONAL-SERIF	sharp-0	noir-shadow	style-specific contrast	expanded research list
flatwood	internet-expanded	Flatwoods	cryptid fog rural	TY-SYSTEM-RAW	sharp-0	fog-rural	style-specific contrast	expanded research list
floral-maximal	internet-expanded	Floral Maximal	wall-to-wall botanicals	TY-OLDSTYLE-SERIF	soft-rect	floral-max	style-specific contrast	expanded research list
forest-punk	internet-expanded	Forest Punk	green anarchic nature tech	TY-MIXED-HIGH-CONTRAST	chunk-border	green-tech	style-specific contrast	expanded research list
frozen-dairy	internet-expanded	Ice Cream Parlour	pastel scoops chrome	TY-ROUNDED	pill	ice-cream	style-specific contrast	expanded research list
garage-kit	internet-expanded	Garage Kit	hobby model paint	TY-SYSTEM-RAW	chunk-border	model-paint	style-specific contrast	expanded research list
garden-formal	internet-expanded	Formal Garden	symmetry hedges paths	TY-TRANSITIONAL-SERIF	ink-underline	hedge	style-specific contrast	expanded research list
gas-station-night	internet-expanded	Night Gas Station	fluorescent loneliness	TY-SYSTEM-RAW	sharp-0	fluorescent	style-specific contrast	expanded research list
glitch-art	internet-expanded	Glitch Art	corruption RGB split	TY-MONO-DATA	sharp-0	rgb-split	style-specific contrast	expanded research list
gothic-revival	internet-expanded	Gothic Revival	pointed arches romantic	TY-BLACKLETTER-SPARSE	ink-underline	gothic-stone	style-specific contrast	expanded research list
grand-budapest	internet-expanded	Grand Budapest-like	pastel symmetric hotel	TY-DIDONE-LUX	soft-rect	pastel-hotel	style-specific contrast	expanded research list
greenhouse	internet-expanded	Greenhouse	glass humidity plants	TY-HUMANIST	soft-rect	greenhouse	style-specific contrast	expanded research list
grocery-90s	internet-expanded	90s Grocery	loud promo clipart	TY-SYSTEM-RAW	filled-block	promo-clip	style-specific contrast	expanded research list
grunge-90s	internet-expanded	90s Grunge	flannel dirt type	TY-MIXED-HIGH-CONTRAST	chunk-border	flannel	style-specific contrast	expanded research list
halloween-classic	internet-expanded	Classic Halloween	orange black cutout	TY-DISPLAY-EXTREME	chunk-border	orange-black	style-specific contrast	expanded research list
harbor-fog	internet-expanded	Harbor Fog	grey wet horns	TY-HUMANIST	chunk-border	fog-harbour	style-specific contrast	expanded research list
harlem-renaissance	internet-expanded	Harlem Renaissance Inspired	jazz art deco black culture	TY-DIDONE-LUX	ink-underline	jazz-gold	style-specific contrast	expanded research list
haunted-mansion	internet-expanded	Haunted Mansion	victorian gloom fun	TY-OLDSTYLE-SERIF	ink-underline	haunted-victorian	style-specific contrast	expanded research list
hedgewitch	internet-expanded	Hedge Witch	herbal practical mystic	TY-OLDSTYLE-SERIF	ink-underline	herb	style-specific contrast	expanded research list
hikecore	internet-expanded	Hikecore	trail maps layers packs	TY-HUMANIST	chunk-border	trail-map	style-specific contrast	expanded research list
holiday-resort	internet-expanded	Holiday Resort	brochure pool blue	TY-HUMANIST	pill	resort-blue	style-specific contrast	expanded research list
horror-pulp	internet-expanded	Pulp Horror	lurid covers type	TY-DISPLAY-EXTREME	chunk-border	pulp	style-specific contrast	expanded research list
hospital-retro	internet-expanded	Retro Hospital	mint tile midcentury med	TY-HUMANIST	soft-rect	mint-tile	style-specific contrast	expanded research list
hot-rod	internet-expanded	Hot Rod	flames chrome racing	TY-DISPLAY-EXTREME	sharp-0	flame-chrome	style-specific contrast	expanded research list
iceberg	internet-expanded	Iceberg	cold minimal tip deep	TY-GROTESK-SOFT	sharp-0	iceberg	style-specific contrast	expanded research list
indie-folk-web	internet-expanded	Indie Folk Web	handdrawn soft acoustic	TY-OLDSTYLE-SERIF	soft-rect	handdrawn	style-specific contrast	expanded research list
industrial-ballet	internet-expanded	Industrial Ballet	grace in machinery	TY-MIXED-HIGH-CONTRAST	sharp-0	machine-grace	style-specific contrast	expanded research list
ink-bleed	internet-expanded	Ink Bleed	wet paper spread	TY-OLDSTYLE-SERIF	ink-underline	wet-ink	style-specific contrast	expanded research list
jazz-club	internet-expanded	Jazz Club	low light brass smoke	TY-DIDONE-LUX	ink-underline	brass-smoke	style-specific contrast	expanded research list
journal-bullet	internet-expanded	Bullet Journal	dotted grids habit	TY-HUMANIST	soft-rect	dot-grid	style-specific contrast	expanded research list
jungle-modern	internet-expanded	Jungle Modern	lush leaf modern furniture	TY-HUMANIST	soft-rect	jungle-modern	style-specific contrast	expanded research list
kayak-outdoor	internet-expanded	Paddle Outdoor	river bright functional	TY-HUMANIST	chunk-border	river	style-specific contrast	expanded research list
kitchen-70s	internet-expanded	1970s Kitchen	avocado harvest gold	TY-GEOMETRIC	soft-rect	avocado-gold	style-specific contrast	expanded research list
lab-core	internet-expanded	Labcore	beakers clean curiosity	TY-MONO-DATA	sharp-0	beaker	style-specific contrast	expanded research list
library-public	internet-expanded	Public Library	 Dewey calm helpful	TY-HUMANIST	ink-underline	library-public	style-specific contrast	expanded research list
lighthouse	internet-expanded	Lighthouse	beam night sea	TY-HUMANIST	chunk-border	lighthouse	style-specific contrast	expanded research list
linen-spa	internet-expanded	Linen Spa	beige calm wellness	TY-HUMANIST	pill	linen-spa	style-specific contrast	expanded research list
lipstick-print	internet-expanded	Lipstick Pop	beauty print bold	TY-DIDONE-LUX	pill	lipstick	style-specific contrast	expanded research list
loft-artist	internet-expanded	Artist Loft	paint splatter white space	TY-MIXED-HIGH-CONTRAST	sharp-0	paint-loft	style-specific contrast	expanded research list
lumberjack	internet-expanded	Lumberjack	plaid timber axe	TY-SLAB	chunk-border	plaid	style-specific contrast	expanded research list
lunar	internet-expanded	Lunar	moon dust silver quiet	TY-GROTESK-SOFT	sharp-0	moon-dust	style-specific contrast	expanded research list
magic-marker	internet-expanded	Magic Marker	hand thick marker	TY-DISPLAY-EXTREME	chunk-border	marker	style-specific contrast	expanded research list
marine-biology	internet-expanded	Marine Biology	specimen blue scientific	TY-SERIF-TEXT	sharp-0	specimen-blue	style-specific contrast	expanded research list
marketplace-bazaar	internet-expanded	Bazaar	dense stalls colour	TY-MIXED-HIGH-CONTRAST	chunk-border	bazaar	style-specific contrast	expanded research list
meadow	internet-expanded	Meadow	wildflower soft horizontal	TY-OLDSTYLE-SERIF	soft-rect	wildflower	style-specific contrast	expanded research list
medical-flat	internet-expanded	Medical Flat Iconic	clean clinical flat	TY-HUMANIST	soft-rect	medical-flat	style-specific contrast	expanded research list
memphis-lite	internet-expanded	Memphis Lite	softer memphis shapes	TY-GEOMETRIC	pill	memphis-soft	style-specific contrast	expanded research list
military-surplus	internet-expanded	Military Surplus	olive stencil util	TY-STENCIL	chunk-border	olive-drab	style-specific contrast	expanded research list
mineral	internet-expanded	Mineral	geodes crystal facets	TY-GEOMETRIC	sharp-0	crystal	style-specific contrast	expanded research list
minimal-swiss-dark	internet-expanded	Dark Swiss	swiss on near-black	TY-GROTESQUE	ink-underline	dark-swiss	style-specific contrast	expanded research list
modular-synth	internet-expanded	Modular Synth	patch cables knobs	TY-MONO-DATA	chunk-border	synth-panel	style-specific contrast	expanded research list
monastic	internet-expanded	Monastic	quiet stone script spare	TY-OLDSTYLE-SERIF	ink-underline	stone-quiet	style-specific contrast	expanded research list
monochrome-red	internet-expanded	Red Monochrome	one red ink system	TY-GROTESQUE	sharp-0	red-ink	style-specific contrast	expanded research list
motel-seedy	internet-expanded	Seedy Motel	neon vacancy loneliness	TY-DISPLAY-EXTREME	chunk-border	vacancy-neon	style-specific contrast	expanded research list
mountain-badge	internet-expanded	Mountain Badge	park badge patches	TY-SLAB	ticket	badge-patch	style-specific contrast	expanded research list
movie-prop	internet-expanded	Movie Prop UI	diegetic fake interfaces	TY-MONO-DATA	sharp-0	prop-ui	style-specific contrast	expanded research list
municipal	internet-expanded	Municipal	forms stamps civic beige	TY-SYSTEM-RAW	sharp-0	municipal	style-specific contrast	expanded research list
museum-label	internet-expanded	Museum Label	tiny captions rigor	TY-SERIF-TEXT	ink-underline	label	style-specific contrast	expanded research list
mushroom	internet-expanded	Mushroom	forest fungi soft weird	TY-ROUNDED	pill	mushroom	style-specific contrast	expanded research list
nautical-flag	internet-expanded	Nautical Flag	signal flags code	TY-HUMANIST	chunk-border	signal-flags	style-specific contrast	expanded research list
neo-geo	internet-expanded	Neo-Geo 80s	memphis geometry cousin	TY-GEOMETRIC	sharp-0	neo-geo	style-specific contrast	expanded research list
neo-tokyo	internet-expanded	Neo Tokyo	anime rain neon density	TY-DISPLAY-EXTREME	sharp-0	neo-tokyo	style-specific contrast	expanded research list
newspaper-sports	internet-expanded	Sports Page	stats columns bold	TY-INDUSTRIAL-COND	sharp-0	sports-page	style-specific contrast	expanded research list
night-market	internet-expanded	Night Market	lanterns steam stalls	TY-MIXED-HIGH-CONTRAST	chunk-border	lantern	style-specific contrast	expanded research list
noir-detective	internet-expanded	Detective Noir	case files stamps	TY-TRANSITIONAL-SERIF	ticket	case-file	style-specific contrast	expanded research list
nordic-noir	internet-expanded	Nordic Noir	cold crime quiet	TY-GROTESQUE	sharp-0	cold-crime	style-specific contrast	expanded research list
notebook-lab	internet-expanded	Lab Notebook	grid ink stains	TY-MONO-DATA	sharp-0	lab-notebook	style-specific contrast	expanded research list
observatory	internet-expanded	Observatory	stars charts navy	TY-SERIF-TEXT	ink-underline	star-chart	style-specific contrast	expanded research list
office-90s	internet-expanded	90s Office	clipart beige CRT	TY-SYSTEM-RAW	soft-rect	office-beige	style-specific contrast	expanded research list
oil-paint-gallery	internet-expanded	Oil Gallery	heavy frames varnish	TY-OLDSTYLE-SERIF	ink-underline	varnish	style-specific contrast	expanded research list
olive-garden-italian-american	internet-expanded	Italian-American Red Sauce	checkered warm family	TY-HUMANIST	soft-rect	check-red	style-specific contrast	expanded research list
opera	internet-expanded	Opera	velvet gold drama	TY-DIDONE-LUX	ink-underline	velvet-gold	style-specific contrast	expanded research list
oracle-mystic	internet-expanded	Oracle Mystic	cards symbols dusk	TY-OLDSTYLE-SERIF	ticket	oracle	style-specific contrast	expanded research list
organic-grocery	internet-expanded	Organic Grocery	kraft green leaf	TY-HUMANIST	soft-rect	kraft-green	style-specific contrast	expanded research list
origami	internet-expanded	Origami	folded paper geometry	TY-GEOMETRIC	sharp-0	folded-paper	style-specific contrast	expanded research list
ornithology	internet-expanded	Ornithology	bird plates field	TY-SERIF-TEXT	ink-underline	bird-plate	style-specific contrast	expanded research list
outdoor-brands	internet-expanded	Outdoor Brand	topo maps functional	TY-HUMANIST	chunk-border	topo	style-specific contrast	expanded research list
pagan-folk	internet-expanded	Pagan Folk	symbols seasons earth	TY-OLDSTYLE-SERIF	ink-underline	season-earth	style-specific contrast	expanded research list
paintball	internet-expanded	Paintball	splatter sport energy	TY-INDUSTRIAL-COND	chunk-border	splatter	style-specific contrast	expanded research list
palace	internet-expanded	Palace	ornate symmetry gold	TY-DIDONE-LUX	ink-underline	palace-gold	style-specific contrast	expanded research list
papercraft	internet-expanded	Papercraft	cut layers shadow boxes	TY-HUMANIST	soft-rect	paper-layer	style-specific contrast	expanded research list
parade	internet-expanded	Parade	confetti floats bright	TY-DISPLAY-EXTREME	pill	confetti	style-specific contrast	expanded research list
park-municipal	internet-expanded	Municipal Park	signs maps green	TY-HUMANIST	chunk-border	park-sign	style-specific contrast	expanded research list
pastel-memphis	internet-expanded	Pastel Memphis	memphis pastel soft	TY-GEOMETRIC	pill	pastel-memphis	style-specific contrast	expanded research list
patio	internet-expanded	Patio	terracotta sun leisure	TY-HUMANIST	soft-rect	terracotta	style-specific contrast	expanded research list
pattern-liberation	internet-expanded	Pattern Liberation	loud textile proud	TY-DISPLAY-EXTREME	chunk-border	textile-loud	style-specific contrast	expanded research list
pavilion	internet-expanded	Pavilion	expo temporary architecture	TY-GEOMETRIC	sharp-0	expo	style-specific contrast	expanded research list
pebble-beach	internet-expanded	Pebble Beach	stones seafoam calm	TY-HUMANIST	soft-rect	pebble	style-specific contrast	expanded research list
pencil-sketch	internet-expanded	Pencil Sketch	graphite construction lines	TY-SYSTEM-RAW	ink-underline	graphite	style-specific contrast	expanded research list
persian-miniature-inspired	internet-expanded	Miniature Inspired	dense narrative detail care	TY-OLDSTYLE-SERIF	ink-underline	miniature	style-specific contrast	expanded research list
pharmacy-retro	internet-expanded	Retro Pharmacy	green cross vintage	TY-HUMANIST	soft-rect	pharmacy-green	style-specific contrast	expanded research list
photobooth	internet-expanded	Photobooth	strips curtains fun	TY-ROUNDED	pill	photo-strip	style-specific contrast	expanded research list
picnic	internet-expanded	Picnic	gingham basket sun	TY-HUMANIST	soft-rect	gingham	style-specific contrast	expanded research list
pixel-office	internet-expanded	Pixel Office	16-bit cubicle humor	TY-PIXEL	sharp-0	pixel-office	style-specific contrast	expanded research list
planetarium	internet-expanded	Planetarium	dome stars education	TY-GROTESK-SOFT	sharp-0	dome-stars	style-specific contrast	expanded research list
plant-shop	internet-expanded	Plant Shop	pots humidity labels	TY-HUMANIST	soft-rect	plant-pots	style-specific contrast	expanded research list
polar	internet-expanded	Polar	expedition red on white	TY-GROTESQUE	chunk-border	expedition	style-specific contrast	expanded research list
police-procedural	internet-expanded	Procedural	evidence boards pins	TY-SYSTEM-RAW	sharp-0	evidence-board	style-specific contrast	expanded research list
