combo_id	style_id	title	family	skeleton	type_era	control	material_hint	colour_strat	chrome	density_hint	brief_lock
C0289	pwa-install	PWA Utility	digital-product	SK-STAMP-SHEET	TY-GROTESK-SOFT	pill	pwa	CS-PHOTO-LED	CH-NONE	marketing	STYLE_ID=pwa-install; SKELETON=SK-STAMP-SHEET; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=pill; MATERIAL=pwa; COLOUR_STRAT=CS-PHOTO-LED; CHROME=CH-NONE; FEEL=app-like simple install
C0290	ar-overlay	AR Overlay UI	digital-product	SK-DOCKED-FAB	TY-GROTESK-SOFT	pill	hud-clear	CS-CMYK-PROCESS	CH-MIN	mobile	STYLE_ID=ar-overlay; SKELETON=SK-DOCKED-FAB; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=pill; MATERIAL=hud-clear; COLOUR_STRAT=CS-CMYK-PROCESS; CHROME=CH-MIN; FEEL=transparent HUD real world
C0291	watch-complication	Watch-scale	digital-product	SK-PEEK-CARDS	TY-SYSTEM-RAW	sharp-0	watch	CS-EARTH	CH-STANDARD	mobile	STYLE_ID=watch-complication; SKELETON=SK-PEEK-CARDS; TYPE_ERA=TY-SYSTEM-RAW; CONTROL=sharp-0; MATERIAL=watch; COLOUR_STRAT=CS-EARTH; CHROME=CH-STANDARD; FEEL=tiny dense complications
C0292	tv-10foot	10-foot UI	digital-product	SK-RADIO-TUNER	TY-GROTESQUE	soft-rect	tv-dark	CS-OCEAN	CH-APP	app	STYLE_ID=tv-10foot; SKELETON=SK-RADIO-TUNER; TYPE_ERA=TY-GROTESQUE; CONTROL=soft-rect; MATERIAL=tv-dark; COLOUR_STRAT=CS-OCEAN; CHROME=CH-APP; FEEL=huge focus living room
C0293	kiosk	Kiosk	digital-product	SK-FILMSTRIP	TY-HUMANIST	filled-block	kiosk	CS-NEON-ON-DARK	CH-DENSE	marketing	STYLE_ID=kiosk; SKELETON=SK-FILMSTRIP; TYPE_ERA=TY-HUMANIST; CONTROL=filled-block; MATERIAL=kiosk; COLOUR_STRAT=CS-NEON-ON-DARK; CHROME=CH-DENSE; FEEL=touch first timeout
C0294	pos-till	POS Till	digital-product	SK-ORBIT-META	TY-INDUSTRIAL-COND	chunk-border	till	CS-DESAT-CORP	CH-IMMERSIVE	marketing	STYLE_ID=pos-till; SKELETON=SK-ORBIT-META; TYPE_ERA=TY-INDUSTRIAL-COND; CONTROL=chunk-border; MATERIAL=till; COLOUR_STRAT=CS-DESAT-CORP; CHROME=CH-IMMERSIVE; FEEL=fast keys total
C0295	signage-digital	Digital Signage	digital-product	SK-SPLIT-DEPTH	TY-INDUSTRIAL-COND	sharp-0	signage	CS-HIGH-KEY	CH-NONE	marketing	STYLE_ID=signage-digital; SKELETON=SK-SPLIT-DEPTH; TYPE_ERA=TY-INDUSTRIAL-COND; CONTROL=sharp-0; MATERIAL=signage; COLOUR_STRAT=CS-HIGH-KEY; CHROME=CH-NONE; FEEL=distance legible loop
C0296	acid-graphix	Acid Graphics	internet-expanded	SK-CHECKOUT-TUNNEL	TY-DISPLAY-EXTREME	chunk-border	acid-mesh	CS-LOW-KEY	CH-MIN	marketing	STYLE_ID=acid-graphix; SKELETON=SK-CHECKOUT-TUNNEL; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=chunk-border; MATERIAL=acid-mesh; COLOUR_STRAT=CS-LOW-KEY; CHROME=CH-MIN; FEEL=chaotic gradient mesh 90s revival
C0297	afrofuturism	Afrofuturism	internet-expanded	SK-CHAT-THREAD	TY-DISPLAY-EXTREME	sharp-0	futurist-pattern	CS-SEPIA	CH-STANDARD	app	STYLE_ID=afrofuturism; SKELETON=SK-CHAT-THREAD; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=sharp-0; MATERIAL=futurist-pattern; COLOUR_STRAT=CS-SEPIA; CHROME=CH-STANDARD; FEEL=black futures tech myth
C0298	analog-horror	Analog Horror	internet-expanded	SK-NOTIFICATION-STACK	TY-SYSTEM-RAW	sharp-0	vhs-static	CS-INVERTED	CH-APP	mobile	STYLE_ID=analog-horror; SKELETON=SK-NOTIFICATION-STACK; TYPE_ERA=TY-SYSTEM-RAW; CONTROL=sharp-0; MATERIAL=vhs-static; COLOUR_STRAT=CS-INVERTED; CHROME=CH-APP; FEEL=VHS threat static
C0299	androgyne	Androgynous Fashion UI	internet-expanded	SK-DIRECTORY	TY-GROTESK-SOFT	ink-underline	fashion-min	CS-REGIONAL-FLAG	CH-DENSE	app	STYLE_ID=androgyne; SKELETON=SK-DIRECTORY; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=ink-underline; MATERIAL=fashion-min; COLOUR_STRAT=CS-REGIONAL-FLAG; CHROME=CH-DENSE; FEEL=fluid minimal fashion
C0300	arcade-carpet	Arcade Carpet	internet-expanded	SK-ATLAS-PLATES	TY-PIXEL	chunk-border	arcade-carpet	CS-BRAND-LOCKUP	CH-IMMERSIVE	marketing	STYLE_ID=arcade-carpet; SKELETON=SK-ATLAS-PLATES; TYPE_ERA=TY-PIXEL; CONTROL=chunk-border; MATERIAL=arcade-carpet; COLOUR_STRAT=CS-BRAND-LOCKUP; CHROME=CH-IMMERSIVE; FEEL=wild pattern dark play
C0301	art-hoe	Art Hoe	internet-expanded	SK-HERO-SPLIT	TY-MIXED-HIGH-CONTRAST	soft-rect	plant-collage	CS-MONO-PLUS	CH-NONE	marketing	STYLE_ID=art-hoe; SKELETON=SK-HERO-SPLIT; TYPE_ERA=TY-MIXED-HIGH-CONTRAST; CONTROL=soft-rect; MATERIAL=plant-collage; COLOUR_STRAT=CS-MONO-PLUS; CHROME=CH-NONE; FEEL=creative colour plant collage
C0302	barbiecore	Barbiecore	internet-expanded	SK-SINGLE-STICKY	TY-ROUNDED	pill	pink-plastic	CS-DUOTONE	CH-MIN	marketing	STYLE_ID=barbiecore; SKELETON=SK-SINGLE-STICKY; TYPE_ERA=TY-ROUNDED; CONTROL=pill; MATERIAL=pink-plastic; COLOUR_STRAT=CS-DUOTONE; CHROME=CH-MIN; FEEL=hot pink plastic glamour
C0303	basement-swamp	Basement Swamp	internet-expanded	SK-EDITORIAL-LONG	TY-SYSTEM-RAW	chunk-border	damp	CS-PRIMARY-TRIO	CH-STANDARD	marketing	STYLE_ID=basement-swamp; SKELETON=SK-EDITORIAL-LONG; TYPE_ERA=TY-SYSTEM-RAW; CONTROL=chunk-border; MATERIAL=damp; COLOUR_STRAT=CS-PRIMARY-TRIO; CHROME=CH-STANDARD; FEEL=damp low-fi gross cute
C0304	beatnik	Beatnik	internet-expanded	SK-BENTO	TY-OLDSTYLE-SERIF	ink-underline	black-coffee	CS-TONAL	CH-APP	marketing	STYLE_ID=beatnik; SKELETON=SK-BENTO; TYPE_ERA=TY-OLDSTYLE-SERIF; CONTROL=ink-underline; MATERIAL=black-coffee; COLOUR_STRAT=CS-TONAL; CHROME=CH-APP; FEEL=black turtleneck jazz type
C0305	bioluminescent	Bioluminescent	internet-expanded	SK-TABLE-FIRST	TY-GROTESK-SOFT	pill	deep-glow	CS-PAPER-INK	CH-DENSE	app	STYLE_ID=bioluminescent; SKELETON=SK-TABLE-FIRST; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=pill; MATERIAL=deep-glow; COLOUR_STRAT=CS-PAPER-INK; CHROME=CH-DENSE; FEEL=deep ocean glow
C0306	bookstore	Bookstore	internet-expanded	SK-TIMELINE	TY-OLDSTYLE-SERIF	ink-underline	book-stack	CS-DARK-STAGE	CH-IMMERSIVE	app	STYLE_ID=bookstore; SKELETON=SK-TIMELINE; TYPE_ERA=TY-OLDSTYLE-SERIF; CONTROL=ink-underline; MATERIAL=book-stack; COLOUR_STRAT=CS-DARK-STAGE; CHROME=CH-IMMERSIVE; FEEL=stacks stickers handwritten
C0307	bubblegum-crisis	Bubblegum 80s Anime	internet-expanded	SK-MAP-STAGE	TY-GEOMETRIC	pill	chrome-pink	CS-PASTEL-POP	CH-NONE	app	STYLE_ID=bubblegum-crisis; SKELETON=SK-MAP-STAGE; TYPE_ERA=TY-GEOMETRIC; CONTROL=pill; MATERIAL=chrome-pink; COLOUR_STRAT=CS-PASTEL-POP; CHROME=CH-NONE; FEEL=80s JP chrome pink
C0308	cabincore	Cabincore	internet-expanded	SK-BOARD-KANBAN	TY-SLAB	chunk-border	log-cabin	CS-SIGNAL	CH-MIN	app	STYLE_ID=cabincore; SKELETON=SK-BOARD-KANBAN; TYPE_ERA=TY-SLAB; CONTROL=chunk-border; MATERIAL=log-cabin; COLOUR_STRAT=CS-SIGNAL; CHROME=CH-MIN; FEEL=log cabin cozy forest
C0309	carnival	Carnival	internet-expanded	SK-TICKET-STUB	TY-DISPLAY-EXTREME	ticket	carnival	CS-PHOTO-LED	CH-STANDARD	marketing	STYLE_ID=carnival; SKELETON=SK-TICKET-STUB; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=ticket; MATERIAL=carnival; COLOUR_STRAT=CS-PHOTO-LED; CHROME=CH-STANDARD; FEEL=tickets stripes loud fun
C0310	cartography-fantasy	Fantasy Map	internet-expanded	SK-LEDGER	TY-OLDSTYLE-SERIF	ticket	parchment-map	CS-CMYK-PROCESS	CH-APP	app	STYLE_ID=cartography-fantasy; SKELETON=SK-LEDGER; TYPE_ERA=TY-OLDSTYLE-SERIF; CONTROL=ticket; MATERIAL=parchment-map; COLOUR_STRAT=CS-CMYK-PROCESS; CHROME=CH-APP; FEEL=parchment compass roses
C0311	celtic-knot	Celtic Inspired	internet-expanded	SK-TERMINAL	TY-OLDSTYLE-SERIF	ink-underline	knot-stone	CS-EARTH	CH-DENSE	app	STYLE_ID=celtic-knot; SKELETON=SK-TERMINAL; TYPE_ERA=TY-OLDSTYLE-SERIF; CONTROL=ink-underline; MATERIAL=knot-stone; COLOUR_STRAT=CS-EARTH; CHROME=CH-DENSE; FEEL=knots stone green
C0312	chalkboard-menu	Chalkboard Menu	internet-expanded	SK-POSTER	TY-SCRIPT-SPARSE	chunk-border	chalkboard	CS-OCEAN	CH-IMMERSIVE	marketing	STYLE_ID=chalkboard-menu; SKELETON=SK-POSTER; TYPE_ERA=TY-SCRIPT-SPARSE; CONTROL=chunk-border; MATERIAL=chalkboard; COLOUR_STRAT=CS-OCEAN; CHROME=CH-IMMERSIVE; FEEL=hand chalk specials
C0313	circus-vintage	Vintage Circus	internet-expanded	SK-BOTTOM-SHEET	TY-DISPLAY-EXTREME	ticket	circus	CS-NEON-ON-DARK	CH-NONE	mobile	STYLE_ID=circus-vintage; SKELETON=SK-BOTTOM-SHEET; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=ticket; MATERIAL=circus; COLOUR_STRAT=CS-NEON-ON-DARK; CHROME=CH-NONE; FEEL=rings posters spectacle
C0314	clockpunk	Clockpunk	internet-expanded	SK-TAB-DECK	TY-OLDSTYLE-SERIF	ticket	clockwork	CS-DESAT-CORP	CH-MIN	mobile	STYLE_ID=clockpunk; SKELETON=SK-TAB-DECK; TYPE_ERA=TY-OLDSTYLE-SERIF; CONTROL=ticket; MATERIAL=clockwork; COLOUR_STRAT=CS-DESAT-CORP; CHROME=CH-MIN; FEEL=clockwork precision
C0315	cloudcore	Cloudcore	internet-expanded	SK-WIZARD-STEPS	TY-ROUNDED	pill	cloud	CS-HIGH-KEY	CH-STANDARD	app	STYLE_ID=cloudcore; SKELETON=SK-WIZARD-STEPS; TYPE_ERA=TY-ROUNDED; CONTROL=pill; MATERIAL=cloud; COLOUR_STRAT=CS-HIGH-KEY; CHROME=CH-STANDARD; FEEL=soft sky dream clouds
C0316	clowncore	Clowncore	internet-expanded	SK-SPLIT-INSPECTOR	TY-DISPLAY-EXTREME	chunk-border	clown-primary	CS-LOW-KEY	CH-APP	app	STYLE_ID=clowncore; SKELETON=SK-SPLIT-INSPECTOR; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=chunk-border; MATERIAL=clown-primary; COLOUR_STRAT=CS-LOW-KEY; CHROME=CH-APP; FEEL=chaotic primary silly
C0317	coral-reef	Coral Reef	internet-expanded	SK-DASH-METRIC	TY-ROUNDED	pill	coral	CS-SEPIA	CH-DENSE	app	STYLE_ID=coral-reef; SKELETON=SK-DASH-METRIC; TYPE_ERA=TY-ROUNDED; CONTROL=pill; MATERIAL=coral; COLOUR_STRAT=CS-SEPIA; CHROME=CH-DENSE; FEEL=underwater saturated life
C0318	corporate-grunge	Corporate Grunge	internet-expanded	SK-GALLERY-INDEX	TY-MIXED-HIGH-CONTRAST	chunk-border	office-decay	CS-INVERTED	CH-IMMERSIVE	marketing	STYLE_ID=corporate-grunge; SKELETON=SK-GALLERY-INDEX; TYPE_ERA=TY-MIXED-HIGH-CONTRAST; CONTROL=chunk-border; MATERIAL=office-decay; COLOUR_STRAT=CS-INVERTED; CHROME=CH-IMMERSIVE; FEEL=office decay irony
C0319	cozy-game-ui	Cozy Stardew-like	internet-expanded	SK-ZINE-COLLAGE	TY-ROUNDED	pill	cozy-farm	CS-REGIONAL-FLAG	CH-NONE	marketing	STYLE_ID=cozy-game-ui; SKELETON=SK-ZINE-COLLAGE; TYPE_ERA=TY-ROUNDED; CONTROL=pill; MATERIAL=cozy-farm; COLOUR_STRAT=CS-REGIONAL-FLAG; CHROME=CH-NONE; FEEL=farm soft pixel-adjacent
C0320	cyber-pretty	Cyber Pretty	internet-expanded	SK-BRUTAL-BLOCKS	TY-ROUNDED	pill	pink-chrome	CS-BRAND-LOCKUP	CH-MIN	any	STYLE_ID=cyber-pretty; SKELETON=SK-BRUTAL-BLOCKS; TYPE_ERA=TY-ROUNDED; CONTROL=pill; MATERIAL=pink-chrome; COLOUR_STRAT=CS-BRAND-LOCKUP; CHROME=CH-MIN; FEEL=cute tech pink chrome
C0321	dark-ocean	Dark Ocean	internet-expanded	SK-RAIL-DOCK	TY-GROTESK-SOFT	sharp-0	abyss	CS-MONO-PLUS	CH-STANDARD	app	STYLE_ID=dark-ocean; SKELETON=SK-RAIL-DOCK; TYPE_ERA=TY-GROTESK-SOFT; CONTROL=sharp-0; MATERIAL=abyss; COLOUR_STRAT=CS-MONO-PLUS; CHROME=CH-STANDARD; FEEL=abyss pressure blue-black
C0322	desert-modern	Desert Modern	internet-expanded	SK-CENTER-STAGE	TY-HUMANIST	sharp-0	adobe	CS-DUOTONE	CH-APP	marketing	STYLE_ID=desert-modern; SKELETON=SK-CENTER-STAGE; TYPE_ERA=TY-HUMANIST; CONTROL=sharp-0; MATERIAL=adobe; COLOUR_STRAT=CS-DUOTONE; CHROME=CH-APP; FEEL=adobe midcentury heat
C0323	diesel-workshop	Diesel Workshop	internet-expanded	SK-NEWS-RIVER	TY-INDUSTRIAL-COND	chunk-border	oil-rag	CS-PRIMARY-TRIO	CH-DENSE	app	STYLE_ID=diesel-workshop; SKELETON=SK-NEWS-RIVER; TYPE_ERA=TY-INDUSTRIAL-COND; CONTROL=chunk-border; MATERIAL=oil-rag; COLOUR_STRAT=CS-PRIMARY-TRIO; CHROME=CH-DENSE; FEEL=oil tools manuals
C0324	diner-americana	Americana Diner	internet-expanded	SK-CALENDAR-SPINE	TY-DISPLAY-EXTREME	chunk-border	checkered	CS-TONAL	CH-IMMERSIVE	app	STYLE_ID=diner-americana; SKELETON=SK-CALENDAR-SPINE; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=chunk-border; MATERIAL=checkered; COLOUR_STRAT=CS-TONAL; CHROME=CH-IMMERSIVE; FEEL=checkered cherry red
C0325	dungeon-synth	Dungeon Synth	internet-expanded	SK-MASONRY	TY-BLACKLETTER-SPARSE	sharp-0	dungeon	CS-PAPER-INK	CH-NONE	marketing	STYLE_ID=dungeon-synth; SKELETON=SK-MASONRY; TYPE_ERA=TY-BLACKLETTER-SPARSE; CONTROL=sharp-0; MATERIAL=dungeon; COLOUR_STRAT=CS-PAPER-INK; CHROME=CH-NONE; FEEL=lo-fi medieval dark
C0326	editorial-new-york	NY Editorial	internet-expanded	SK-SPLIT-DIAGONAL	TY-MODERN-SERIF	ink-underline	ny-edit	CS-DARK-STAGE	CH-MIN	marketing	STYLE_ID=editorial-new-york; SKELETON=SK-SPLIT-DIAGONAL; TYPE_ERA=TY-MODERN-SERIF; CONTROL=ink-underline; MATERIAL=ny-edit; COLOUR_STRAT=CS-DARK-STAGE; CHROME=CH-MIN; FEEL=intellectual black white
C0327	egyptian-revival	Egyptian Revival	internet-expanded	SK-FRAME-IN-FRAME	TY-GEOMETRIC	sharp-0	nile-gold	CS-PASTEL-POP	CH-STANDARD	marketing	STYLE_ID=egyptian-revival; SKELETON=SK-FRAME-IN-FRAME; TYPE_ERA=TY-GEOMETRIC; CONTROL=sharp-0; MATERIAL=nile-gold; COLOUR_STRAT=CS-PASTEL-POP; CHROME=CH-STANDARD; FEEL=deco nile geometry
C0328	electroclash	Electroclash	internet-expanded	SK-SIDE-SCROLL	TY-DISPLAY-EXTREME	sharp-0	club-irony	CS-SIGNAL	CH-APP	marketing	STYLE_ID=electroclash; SKELETON=SK-SIDE-SCROLL; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=sharp-0; MATERIAL=club-irony; COLOUR_STRAT=CS-SIGNAL; CHROME=CH-APP; FEEL=2000s club irony
C0329	elfcore	Elfcore	internet-expanded	SK-FIXED-TOC	TY-DIDONE-LUX	ink-underline	forest-ethereal	CS-PHOTO-LED	CH-DENSE	marketing	STYLE_ID=elfcore; SKELETON=SK-FIXED-TOC; TYPE_ERA=TY-DIDONE-LUX; CONTROL=ink-underline; MATERIAL=forest-ethereal; COLOUR_STRAT=CS-PHOTO-LED; CHROME=CH-DENSE; FEEL=ethereal forest elegant
C0330	equestrian	Equestrian	internet-expanded	SK-COMMAND-CENTER	TY-TRANSITIONAL-SERIF	chunk-border	leather-brass	CS-CMYK-PROCESS	CH-IMMERSIVE	app	STYLE_ID=equestrian; SKELETON=SK-COMMAND-CENTER; TYPE_ERA=TY-TRANSITIONAL-SERIF; CONTROL=chunk-border; MATERIAL=leather-brass; COLOUR_STRAT=CS-CMYK-PROCESS; CHROME=CH-IMMERSIVE; FEEL=leather brass riding
C0331	estate-sale	Estate Sale	internet-expanded	SK-INBOX-ZERO	TY-MIXED-HIGH-CONTRAST	ticket	thrift	CS-EARTH	CH-NONE	app	STYLE_ID=estate-sale; SKELETON=SK-INBOX-ZERO; TYPE_ERA=TY-MIXED-HIGH-CONTRAST; CONTROL=ticket; MATERIAL=thrift; COLOUR_STRAT=CS-EARTH; CHROME=CH-NONE; FEEL=thrifted mixed decades
C0332	fantasy-rpg-ui	Fantasy RPG UI	internet-expanded	SK-STUDIO-CANVAS	TY-OLDSTYLE-SERIF	ticket	rpg-parchment	CS-OCEAN	CH-MIN	app	STYLE_ID=fantasy-rpg-ui; SKELETON=SK-STUDIO-CANVAS; TYPE_ERA=TY-OLDSTYLE-SERIF; CONTROL=ticket; MATERIAL=rpg-parchment; COLOUR_STRAT=CS-OCEAN; CHROME=CH-MIN; FEEL=parchment bars spells
C0333	fauvist	Fauvist Colour	internet-expanded	SK-COMPARISON	TY-DISPLAY-EXTREME	chunk-border	wild-colour	CS-NEON-ON-DARK	CH-STANDARD	marketing	STYLE_ID=fauvist; SKELETON=SK-COMPARISON; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=chunk-border; MATERIAL=wild-colour; COLOUR_STRAT=CS-NEON-ON-DARK; CHROME=CH-STANDARD; FEEL=wild non-natural colour
C0334	festival-boho	Festival Boho	internet-expanded	SK-PRICING-LADDER	TY-HUMANIST	pill	dust-sunset	CS-DESAT-CORP	CH-APP	marketing	STYLE_ID=festival-boho; SKELETON=SK-PRICING-LADDER; TYPE_ERA=TY-HUMANIST; CONTROL=pill; MATERIAL=dust-sunset; COLOUR_STRAT=CS-DESAT-CORP; CHROME=CH-APP; FEEL=fringe dust sunset
C0335	film-noir	Film Noir	internet-expanded	SK-MANIFEST-LIST	TY-TRANSITIONAL-SERIF	sharp-0	noir-shadow	CS-HIGH-KEY	CH-DENSE	app	STYLE_ID=film-noir; SKELETON=SK-MANIFEST-LIST; TYPE_ERA=TY-TRANSITIONAL-SERIF; CONTROL=sharp-0; MATERIAL=noir-shadow; COLOUR_STRAT=CS-HIGH-KEY; CHROME=CH-DENSE; FEEL=venetian blinds shadow
C0336	flatwood	Flatwoods	internet-expanded	SK-SCOREBOARD	TY-SYSTEM-RAW	sharp-0	fog-rural	CS-LOW-KEY	CH-IMMERSIVE	app	STYLE_ID=flatwood; SKELETON=SK-SCOREBOARD; TYPE_ERA=TY-SYSTEM-RAW; CONTROL=sharp-0; MATERIAL=fog-rural; COLOUR_STRAT=CS-LOW-KEY; CHROME=CH-IMMERSIVE; FEEL=cryptid fog rural
C0337	floral-maximal	Floral Maximal	internet-expanded	SK-COCKPIT-STRIP	TY-OLDSTYLE-SERIF	soft-rect	floral-max	CS-SEPIA	CH-NONE	app	STYLE_ID=floral-maximal; SKELETON=SK-COCKPIT-STRIP; TYPE_ERA=TY-OLDSTYLE-SERIF; CONTROL=soft-rect; MATERIAL=floral-max; COLOUR_STRAT=CS-SEPIA; CHROME=CH-NONE; FEEL=wall-to-wall botanicals
C0338	forest-punk	Forest Punk	internet-expanded	SK-FOLIO-SPREAD	TY-MIXED-HIGH-CONTRAST	chunk-border	green-tech	CS-INVERTED	CH-MIN	marketing	STYLE_ID=forest-punk; SKELETON=SK-FOLIO-SPREAD; TYPE_ERA=TY-MIXED-HIGH-CONTRAST; CONTROL=chunk-border; MATERIAL=green-tech; COLOUR_STRAT=CS-INVERTED; CHROME=CH-MIN; FEEL=green anarchic nature tech
C0339	frozen-dairy	Ice Cream Parlour	internet-expanded	SK-STAMP-SHEET	TY-ROUNDED	pill	ice-cream	CS-REGIONAL-FLAG	CH-STANDARD	marketing	STYLE_ID=frozen-dairy; SKELETON=SK-STAMP-SHEET; TYPE_ERA=TY-ROUNDED; CONTROL=pill; MATERIAL=ice-cream; COLOUR_STRAT=CS-REGIONAL-FLAG; CHROME=CH-STANDARD; FEEL=pastel scoops chrome
C0340	garage-kit	Garage Kit	internet-expanded	SK-DOCKED-FAB	TY-SYSTEM-RAW	chunk-border	model-paint	CS-BRAND-LOCKUP	CH-APP	mobile	STYLE_ID=garage-kit; SKELETON=SK-DOCKED-FAB; TYPE_ERA=TY-SYSTEM-RAW; CONTROL=chunk-border; MATERIAL=model-paint; COLOUR_STRAT=CS-BRAND-LOCKUP; CHROME=CH-APP; FEEL=hobby model paint
C0341	garden-formal	Formal Garden	internet-expanded	SK-PEEK-CARDS	TY-TRANSITIONAL-SERIF	ink-underline	hedge	CS-MONO-PLUS	CH-DENSE	mobile	STYLE_ID=garden-formal; SKELETON=SK-PEEK-CARDS; TYPE_ERA=TY-TRANSITIONAL-SERIF; CONTROL=ink-underline; MATERIAL=hedge; COLOUR_STRAT=CS-MONO-PLUS; CHROME=CH-DENSE; FEEL=symmetry hedges paths
C0342	gas-station-night	Night Gas Station	internet-expanded	SK-RADIO-TUNER	TY-SYSTEM-RAW	sharp-0	fluorescent	CS-DUOTONE	CH-IMMERSIVE	app	STYLE_ID=gas-station-night; SKELETON=SK-RADIO-TUNER; TYPE_ERA=TY-SYSTEM-RAW; CONTROL=sharp-0; MATERIAL=fluorescent; COLOUR_STRAT=CS-DUOTONE; CHROME=CH-IMMERSIVE; FEEL=fluorescent loneliness
C0343	glitch-art	Glitch Art	internet-expanded	SK-FILMSTRIP	TY-MONO-DATA	sharp-0	rgb-split	CS-PRIMARY-TRIO	CH-NONE	marketing	STYLE_ID=glitch-art; SKELETON=SK-FILMSTRIP; TYPE_ERA=TY-MONO-DATA; CONTROL=sharp-0; MATERIAL=rgb-split; COLOUR_STRAT=CS-PRIMARY-TRIO; CHROME=CH-NONE; FEEL=corruption RGB split
C0344	gothic-revival	Gothic Revival	internet-expanded	SK-ORBIT-META	TY-BLACKLETTER-SPARSE	ink-underline	gothic-stone	CS-TONAL	CH-MIN	marketing	STYLE_ID=gothic-revival; SKELETON=SK-ORBIT-META; TYPE_ERA=TY-BLACKLETTER-SPARSE; CONTROL=ink-underline; MATERIAL=gothic-stone; COLOUR_STRAT=CS-TONAL; CHROME=CH-MIN; FEEL=pointed arches romantic
C0345	grand-budapest	Grand Budapest-like	internet-expanded	SK-SPLIT-DEPTH	TY-DIDONE-LUX	soft-rect	pastel-hotel	CS-PAPER-INK	CH-STANDARD	marketing	STYLE_ID=grand-budapest; SKELETON=SK-SPLIT-DEPTH; TYPE_ERA=TY-DIDONE-LUX; CONTROL=soft-rect; MATERIAL=pastel-hotel; COLOUR_STRAT=CS-PAPER-INK; CHROME=CH-STANDARD; FEEL=pastel symmetric hotel
C0346	greenhouse	Greenhouse	internet-expanded	SK-CHECKOUT-TUNNEL	TY-HUMANIST	soft-rect	greenhouse	CS-DARK-STAGE	CH-APP	marketing	STYLE_ID=greenhouse; SKELETON=SK-CHECKOUT-TUNNEL; TYPE_ERA=TY-HUMANIST; CONTROL=soft-rect; MATERIAL=greenhouse; COLOUR_STRAT=CS-DARK-STAGE; CHROME=CH-APP; FEEL=glass humidity plants
C0347	grocery-90s	90s Grocery	internet-expanded	SK-CHAT-THREAD	TY-SYSTEM-RAW	filled-block	promo-clip	CS-PASTEL-POP	CH-DENSE	app	STYLE_ID=grocery-90s; SKELETON=SK-CHAT-THREAD; TYPE_ERA=TY-SYSTEM-RAW; CONTROL=filled-block; MATERIAL=promo-clip; COLOUR_STRAT=CS-PASTEL-POP; CHROME=CH-DENSE; FEEL=loud promo clipart
C0348	grunge-90s	90s Grunge	internet-expanded	SK-NOTIFICATION-STACK	TY-MIXED-HIGH-CONTRAST	chunk-border	flannel	CS-SIGNAL	CH-IMMERSIVE	mobile	STYLE_ID=grunge-90s; SKELETON=SK-NOTIFICATION-STACK; TYPE_ERA=TY-MIXED-HIGH-CONTRAST; CONTROL=chunk-border; MATERIAL=flannel; COLOUR_STRAT=CS-SIGNAL; CHROME=CH-IMMERSIVE; FEEL=flannel dirt type
C0349	halloween-classic	Classic Halloween	internet-expanded	SK-DIRECTORY	TY-DISPLAY-EXTREME	chunk-border	orange-black	CS-PHOTO-LED	CH-NONE	app	STYLE_ID=halloween-classic; SKELETON=SK-DIRECTORY; TYPE_ERA=TY-DISPLAY-EXTREME; CONTROL=chunk-border; MATERIAL=orange-black; COLOUR_STRAT=CS-PHOTO-LED; CHROME=CH-NONE; FEEL=orange black cutout
C0350	harbor-fog	Harbor Fog	internet-expanded	SK-ATLAS-PLATES	TY-HUMANIST	chunk-border	fog-harbour	CS-CMYK-PROCESS	CH-MIN	marketing	STYLE_ID=harbor-fog; SKELETON=SK-ATLAS-PLATES; TYPE_ERA=TY-HUMANIST; CONTROL=chunk-border; MATERIAL=fog-harbour; COLOUR_STRAT=CS-CMYK-PROCESS; CHROME=CH-MIN; FEEL=grey wet horns
C0351	harlem-renaissance	Harlem Renaissance Inspired	internet-expanded	SK-HERO-SPLIT	TY-DIDONE-LUX	ink-underline	jazz-gold	CS-EARTH	CH-STANDARD	marketing	STYLE_ID=harlem-renaissance; SKELETON=SK-HERO-SPLIT; TYPE_ERA=TY-DIDONE-LUX; CONTROL=ink-underline; MATERIAL=jazz-gold; COLOUR_STRAT=CS-EARTH; CHROME=CH-STANDARD; FEEL=jazz art deco black culture
C0352	haunted-mansion	Haunted Mansion	internet-expanded	SK-SINGLE-STICKY	TY-OLDSTYLE-SERIF	ink-underline	haunted-victorian	CS-OCEAN	CH-APP	marketing	STYLE_ID=haunted-mansion; SKELETON=SK-SINGLE-STICKY; TYPE_ERA=TY-OLDSTYLE-SERIF; CONTROL=ink-underline; MATERIAL=haunted-victorian; COLOUR_STRAT=CS-OCEAN; CHROME=CH-APP; FEEL=victorian gloom fun
